num,data
0,2
1,-3
2,5
3,-22
4,0
5,-10
6,-2
7,-2
8,-5
9,-7
10,8
11,3
12,5
13,-7
14,10
15,0
16,13
17,16
18,-6
19,-7
20,22
21,-4
22,0
23,16
24,10
25,8
26,-2
27,9
28,3
29,0
30,-3
31,1
32,14
33,-14
34,2
35,-22
36,4
37,-5
38,10
39,-6
40,-3
41,-15
42,-12
43,13
44,-1
45,13
46,13
47,-4
48,11
49,-2
50,13
51,1
52,-6
53,4
54,9
55,-4
56,-12
57,-4
58,6
59,0
60,-1
61,5
62,2
63,2
64,-2
65,-12
66,1
67,7
68,-2
69,-1
70,-10
71,8
72,3
73,-14
74,2
75,8
76,10
77,-6
78,2
79,0
80,14
81,9
82,-7
83,0
84,1
85,-1
86,-2
87,-9
88,9
89,0
90,-4
91,0
92,11
93,-10
94,9
95,-9
96,9
97,-7
98,2
99,1
100,2
101,16
102,-12
103,11
104,1
105,-3
106,-9
107,11
108,7
109,-1
110,-20
111,3
112,-1
113,3
114,-1
115,0
116,8
117,8
118,-8
119,-7
120,-3
121,16
122,-5
123,-2
124,-1
125,13
126,8
127,13
128,12
129,13
130,-10
131,6
132,4
133,-2
134,-16
135,-17
136,-7
137,15
138,10
139,-6
140,-2
141,-4
142,-3
143,-9
144,2
145,7
146,-6
147,-15
148,0
149,12
150,9
151,6
152,10
153,7
154,9
155,-14
156,6
157,3
158,3
159,-4
160,11
161,-6
162,5
163,15
164,0
165,6
166,-9
167,14
168,-4
169,2
170,4
171,-12
172,-4
173,-3
174,-10
175,-12
176,-3
177,18
178,-2
179,-14
180,14
181,-1
182,5
183,-8
184,9
185,10
186,24
187,-12
188,-4
189,-11
190,-7
191,10
192,-1
193,9
194,1
195,-17
196,10
197,-17
198,-10
199,-6
200,14
201,-20
202,-12
203,-8
204,-13
205,-2
206,0
207,8
208,-9
209,-9
210,1
211,0
212,4
213,13
214,8
215,12
216,0
217,-4
218,-6
219,0
220,11
221,9
222,-4
223,-9
224,11
225,-1
226,-1
227,4
228,2
229,2
230,5
231,5
232,0
233,-8
234,3
235,8
236,0
237,-1
238,-7
239,2
240,-8
241,-5
242,-4
243,10
244,3
245,-7
246,-13
247,-2
248,14
249,7
250,4
251,-1
252,-11
253,20
254,7
255,-10
256,-1
257,6
258,2
259,-13
260,13
261,-4
262,8
263,-9
264,-5
265,15
266,-5
267,11
268,-11
269,-2
270,-17
271,4
272,9
273,-2
274,-2
275,-2
276,-10
277,0
278,-12
279,-7
280,-4
281,-14
282,0
283,8
284,-3
285,0
286,16
287,0
288,0
289,-3
290,0
291,-14
292,2
293,-3
294,-9
295,-9
296,1
297,1
298,-9
299,12
300,0
301,-2
302,9
303,8
304,-11
305,11
306,-6
307,-9
308,-14
309,-1
310,-8
311,-3
312,8
313,-1
314,0
315,2
316,21
317,-12
318,-3
319,7
320,5
321,6
322,-4
323,-12
324,6
325,1
326,11
327,15
328,-18
329,-11
330,-3
331,3
332,-7
333,0
334,6
335,-15
336,-2
337,-4
338,18
339,3
340,9
341,0
342,3
343,-6
344,2
345,-2
346,-6
347,3
348,-15
349,-10
350,10
351,1
352,-15
353,-1
354,7
355,11
356,16
357,2
358,3
359,5
360,-1
361,3
362,-7
363,16
364,4
365,9
366,0
367,-2
368,0
369,-1
370,0
371,6
372,23
373,7
374,-13
375,-1
376,-1
377,-19
378,8
379,-11
380,3
381,-3
382,-7
383,3
384,-11
385,-10
386,-16
387,7
388,1
389,27
390,-16
391,-5
392,0
393,-11
394,-10
395,9
396,0
397,4
398,-5
399,8
400,-16
401,15
402,7
403,3
404,16
405,16
406,12
407,-3
408,8
409,-1
410,11
411,-16
412,0
413,-5
414,18
415,1
416,2
417,-27
418,16
419,13
420,-14
421,0
422,-9
423,20
424,0
425,0
426,7
427,11
428,12
429,-16
430,-5
431,4
432,-6
433,7
434,18
435,-6
436,15
437,0
438,-18
439,-11
440,-7
441,3
442,-2
443,-13
444,11
445,-8
446,0
447,-4
448,6
449,-10
450,1
451,17
452,2
453,14
454,5
455,4
456,-3
457,5
458,0
459,-4
460,7
461,8
462,19
463,20
464,-24
465,7
466,-3
467,-4
468,9
469,13
470,0
471,0
472,6
473,-7
474,-15
475,5
476,9
477,-10
478,-2
479,-17
480,4
481,7
482,23
483,5
484,0
485,4
486,27
487,18
488,-9
489,5
490,3
491,-10
492,9
493,12
494,4
495,7
496,-10
497,8
498,-1
499,1
500,12
501,15
502,-11
503,0
504,14
505,4
506,-4
507,15
508,5
509,-8
510,-5
511,-5
512,8
513,-7
514,-17
515,-10
516,1
517,8
518,6
519,-6
520,-7
521,-12
522,4
523,13
524,-1
